010101-0000,10001,10001,biker0000,24100
010101-0001,10002,10002,biker0001,24101
010101-0002,10003,10003,biker0002,24102
010101-0003,10004,10004,biker0003,24103
010101-0004,10005,10005,biker0004,24104
010101-0005,10006,10006,biker0005,24105
010101-0006,10007,10007,biker0006,24106
010101-0007,10008,10008,biker0007,24107
010101-0008,10009,10009,biker0008,24108
010101-0009,10010,10010,biker0009,24109
010101-0010,10011,10011,biker0010,24110
010101-0011,10012,10012,biker0011,24111
010101-0012,10013,10013,biker0012,24112
010101-0013,10014,10014,biker0013,24113
010101-0014,10015,10015,biker0014,24114
010101-0015,10016,10016,biker0015,24115
010101-0016,10017,10017,biker0016,24116
010101-0017,10018,10018,biker0017,24117
010101-0018,10019,10019,biker0018,24118
010101-0019,10020,10020,biker0019,24119
010101-0020,10021,10021,biker0020,24120
010101-0021,10022,10022,biker0021,24121
010101-0022,10023,10023,biker0022,24122
010101-0023,10024,10024,biker0023,24123
010101-0024,10025,10025,biker0024,24124
010101-0025,10026,10026,biker0025,24125
010101-0026,10027,10027,biker0026,24126
010101-0027,10028,10028,biker0027,24127
010101-0028,10029,10029,biker0028,24128
010101-0029,10030,10030,biker0029,24129
010101-0030,10031,10031,biker0030,24130
010101-0031,10032,10032,biker0031,24131
010101-0032,10033,10033,biker0032,24132
010101-0033,10034,10034,biker0033,24133
010101-0034,10035,10035,biker0034,24134
010101-0035,10036,10036,biker0035,24135
010101-0036,10037,10037,biker0036,24136
010101-0037,10038,10038,biker0037,24137
010101-0038,10039,10039,biker0038,24138
010101-0039,10040,10040,biker0039,24139
010101-0040,10041,10041,biker0040,24140
010101-0041,10042,10042,biker0041,24141
010101-0042,10043,10043,biker0042,24142
010101-0043,10044,10044,biker0043,24143
010101-0044,10045,10045,biker0044,24144
010101-0045,10046,10046,biker0045,24145
010101-0046,10047,10047,biker0046,24146
010101-0047,10048,10048,biker0047,24147
010101-0048,10049,10049,biker0048,24148
010101-0049,10050,10050,biker0049,24149
010101-0050,10051,10051,biker0050,24150
010101-0051,10052,10052,biker0051,24151
010101-0052,10053,10053,biker0052,24152
010101-0053,10054,10054,biker0053,24153
010101-0054,10055,10055,biker0054,24154
010101-0055,10056,10056,biker0055,24155
010101-0056,10057,10057,biker0056,24156
010101-0057,10058,10058,biker0057,24157
010101-0058,10059,10059,biker0058,24158
010101-0059,10060,10060,biker0059,24159
010101-0060,10061,10061,biker0060,24160
010101-0061,10062,10062,biker0061,24161
010101-0062,10063,10063,biker0062,24162
010101-0063,10064,10064,biker0063,24163
010101-0064,10065,10065,biker0064,24164
010101-0065,10066,10066,biker0065,24165
010101-0066,10067,10067,biker0066,24166
010101-0067,10068,10068,biker0067,24167
010101-0068,10069,10069,biker0068,24168
010101-0069,10070,10070,biker0069,24169
010101-0070,10071,10071,biker0070,24170
010101-0071,10072,10072,biker0071,24171
010101-0072,10073,10073,biker0072,24172
010101-0073,10074,10074,biker0073,24173
010101-0074,10075,10075,biker0074,24174
010101-0075,10076,10076,biker0075,24175
010101-0076,10077,10077,biker0076,24176
010101-0077,10078,10078,biker0077,24177
010101-0078,10079,10079,biker0078,24178
010101-0079,10080,10080,biker0079,24179
010101-0080,10081,10081,biker0080,24180
010101-0081,10082,10082,biker0081,24181
010101-0082,10083,10083,biker0082,24182
010101-0083,10084,10084,biker0083,24183
010101-0084,10085,10085,biker0084,24184
010101-0085,10086,10086,biker0085,24185
010101-0086,10087,10087,biker0086,24186
010101-0087,10088,10088,biker0087,24187
010101-0088,10089,10089,biker0088,24188
010101-0089,10090,10090,biker0089,24189
010101-0090,10091,10091,biker0090,24190
010101-0091,10092,10092,biker0091,24191
010101-0092,10093,10093,biker0092,24192
010101-0093,10094,10094,biker0093,24193
010101-0094,10095,10095,biker0094,24194
010101-0095,10096,10096,biker0095,24195
010101-0096,10097,10097,biker0096,24196
010101-0097,10098,10098,biker0097,24197
010101-0098,10099,10099,biker0098,24198
010101-0099,10100,10100,biker0099,24199
010101-0100,10101,10101,biker0100,24200
010101-0101,10102,10102,biker0101,24201
010101-0102,10103,10103,biker0102,24202
010101-0103,10104,10104,biker0103,24203
010101-0104,10105,10105,biker0104,24204
010101-0105,10106,10106,biker0105,24205
010101-0106,10107,10107,biker0106,24206
010101-0107,10108,10108,biker0107,24207
010101-0108,10109,10109,biker0108,24208
010101-0109,10110,10110,biker0109,24209
010101-0110,10111,10111,biker0110,24210
010101-0111,10112,10112,biker0111,24211
010101-0112,10113,10113,biker0112,24212
010101-0113,10114,10114,biker0113,24213
010101-0114,10115,10115,biker0114,24214
010101-0115,10116,10116,biker0115,24215
010101-0116,10117,10117,biker0116,24216
010101-0117,10118,10118,biker0117,24217
010101-0118,10119,10119,biker0118,24218
010101-0119,10120,10120,biker0119,24219
010101-0120,10121,10121,biker0120,24220
010101-0121,10122,10122,biker0121,24221
010101-0122,10123,10123,biker0122,24222
010101-0123,10124,10124,biker0123,24223
010101-0124,10125,10125,biker0124,24224
010101-0125,10126,10126,biker0125,24225
010101-0126,10127,10127,biker0126,24226
010101-0127,10128,10128,biker0127,24227
010101-0128,10129,10129,biker0128,24228
010101-0129,10130,10130,biker0129,24229
010101-0130,10131,10131,biker0130,24230
010101-0131,10132,10132,biker0131,24231
010101-0132,10133,10133,biker0132,24232
010101-0133,10134,10134,biker0133,24233
010101-0134,10135,10135,biker0134,24234
010101-0135,10136,10136,biker0135,24235
010101-0136,10137,10137,biker0136,24236
010101-0137,10138,10138,biker0137,24237
010101-0138,10139,10139,biker0138,24238
010101-0139,10140,10140,biker0139,24239
010101-0140,10141,10141,biker0140,24240
010101-0141,10142,10142,biker0141,24241
010101-0142,10143,10143,biker0142,24242
010101-0143,10144,10144,biker0143,24243
010101-0144,10145,10145,biker0144,24244
010101-0145,10146,10146,biker0145,24245
010101-0146,10147,10147,biker0146,24246
010101-0147,10148,10148,biker0147,24247
010101-0148,10149,10149,biker0148,24248
010101-0149,10150,10150,biker0149,24249
010101-0150,10151,10151,biker0150,24250
010101-0151,10152,10152,biker0151,24251
010101-0152,10153,10153,biker0152,24252
010101-0153,10154,10154,biker0153,24253
010101-0154,10155,10155,biker0154,24254
010101-0155,10156,10156,biker0155,24255
010101-0156,10157,10157,biker0156,24256
010101-0157,10158,10158,biker0157,24257
010101-0158,10159,10159,biker0158,24258
010101-0159,10160,10160,biker0159,24259
010101-0160,10161,10161,biker0160,24260
010101-0161,10162,10162,biker0161,24261
010101-0162,10163,10163,biker0162,24262
010101-0163,10164,10164,biker0163,24263
010101-0164,10165,10165,biker0164,24264
010101-0165,10166,10166,biker0165,24265
010101-0166,10167,10167,biker0166,24266
010101-0167,10168,10168,biker0167,24267
010101-0168,10169,10169,biker0168,24268
010101-0169,10170,10170,biker0169,24269
010101-0170,10171,10171,biker0170,24270
010101-0171,10172,10172,biker0171,24271
010101-0172,10173,10173,biker0172,24272
010101-0173,10174,10174,biker0173,24273
010101-0174,10175,10175,biker0174,24274
010101-0175,10176,10176,biker0175,24275
010101-0176,10177,10177,biker0176,24276
010101-0177,10178,10178,biker0177,24277
010101-0178,10179,10179,biker0178,24278
010101-0179,10180,10180,biker0179,24279
010101-0180,10181,10181,biker0180,24280
010101-0181,10182,10182,biker0181,24281
010101-0182,10183,10183,biker0182,24282
010101-0183,10184,10184,biker0183,24283
010101-0184,10185,10185,biker0184,24284
010101-0185,10186,10186,biker0185,24285
010101-0186,10187,10187,biker0186,24286
010101-0187,10188,10188,biker0187,24287
010101-0188,10189,10189,biker0188,24288
010101-0189,10190,10190,biker0189,24289
010101-0190,10191,10191,biker0190,24290
010101-0191,10192,10192,biker0191,24291
010101-0192,10193,10193,biker0192,24292
010101-0193,10194,10194,biker0193,24293
010101-0194,10195,10195,biker0194,24294
010101-0195,10196,10196,biker0195,24295
010101-0196,10197,10197,biker0196,24296
010101-0197,10198,10198,biker0197,24297
010101-0198,10199,10199,biker0198,24298
010101-0199,10200,10200,biker0199,24299
010101-0200,10201,10201,biker0200,24300
010101-0201,10202,10202,biker0201,24301
010101-0202,10203,10203,biker0202,24302
010101-0203,10204,10204,biker0203,24303
010101-0204,10205,10205,biker0204,24304
010101-0205,10206,10206,biker0205,24305
010101-0206,10207,10207,biker0206,24306
010101-0207,10208,10208,biker0207,24307
010101-0208,10209,10209,biker0208,24308
010101-0209,10210,10210,biker0209,24309
010101-0210,10211,10211,biker0210,24310
010101-0211,10212,10212,biker0211,24311
010101-0212,10213,10213,biker0212,24312
010101-0213,10214,10214,biker0213,24313
010101-0214,10215,10215,biker0214,24314
010101-0215,10216,10216,biker0215,24315
010101-0216,10217,10217,biker0216,24316
010101-0217,10218,10218,biker0217,24317
010101-0218,10219,10219,biker0218,24318
010101-0219,10220,10220,biker0219,24319
010101-0220,10221,10221,biker0220,24320
010101-0221,10222,10222,biker0221,24321
010101-0222,10223,10223,biker0222,24322
010101-0223,10224,10224,biker0223,24323
010101-0224,10225,10225,biker0224,24324
010101-0225,10226,10226,biker0225,24325
010101-0226,10227,10227,biker0226,24326
010101-0227,10228,10228,biker0227,24327
010101-0228,10229,10229,biker0228,24328
010101-0229,10230,10230,biker0229,24329
010101-0230,10231,10231,biker0230,24330
010101-0231,10232,10232,biker0231,24331
010101-0232,10233,10233,biker0232,24332
010101-0233,10234,10234,biker0233,24333
010101-0234,10235,10235,biker0234,24334
010101-0235,10236,10236,biker0235,24335
010101-0236,10237,10237,biker0236,24336
010101-0237,10238,10238,biker0237,24337
010101-0238,10239,10239,biker0238,24338
010101-0239,10240,10240,biker0239,24339
010101-0240,10241,10241,biker0240,24340
010101-0241,10242,10242,biker0241,24341
010101-0242,10243,10243,biker0242,24342
010101-0243,10244,10244,biker0243,24343
010101-0244,10245,10245,biker0244,24344
010101-0245,10246,10246,biker0245,24345
010101-0246,10247,10247,biker0246,24346
010101-0247,10248,10248,biker0247,24347
010101-0248,10249,10249,biker0248,24348
010101-0249,10250,10250,biker0249,24349
010101-0250,10251,10251,biker0250,24350
010101-0251,10252,10252,biker0251,24351
010101-0252,10253,10253,biker0252,24352
010101-0253,10254,10254,biker0253,24353
010101-0254,10255,10255,biker0254,24354
010101-0255,10256,10256,biker0255,24355
010101-0256,10257,10257,biker0256,24356
010101-0257,10258,10258,biker0257,24357
010101-0258,10259,10259,biker0258,24358
010101-0259,10260,10260,biker0259,24359
010101-0260,10261,10261,biker0260,24360
010101-0261,10262,10262,biker0261,24361
010101-0262,10263,10263,biker0262,24362
010101-0263,10264,10264,biker0263,24363
010101-0264,10265,10265,biker0264,24364
010101-0265,10266,10266,biker0265,24365
010101-0266,10267,10267,biker0266,24366
010101-0267,10268,10268,biker0267,24367
010101-0268,10269,10269,biker0268,24368
010101-0269,10270,10270,biker0269,24369
010101-0270,10271,10271,biker0270,24370
010101-0271,10272,10272,biker0271,24371
010101-0272,10273,10273,biker0272,24372
010101-0273,10274,10274,biker0273,24373
010101-0274,10275,10275,biker0274,24374
010101-0275,10276,10276,biker0275,24375
010101-0276,10277,10277,biker0276,24376
010101-0277,10278,10278,biker0277,24377
010101-0278,10279,10279,biker0278,24378
010101-0279,10280,10280,biker0279,24379
010101-0280,10281,10281,biker0280,24380
010101-0281,10282,10282,biker0281,24381
010101-0282,10283,10283,biker0282,24382
010101-0283,10284,10284,biker0283,24383
010101-0284,10285,10285,biker0284,24384
010101-0285,10286,10286,biker0285,24385
010101-0286,10287,10287,biker0286,24386
010101-0287,10288,10288,biker0287,24387
010101-0288,10289,10289,biker0288,24388
010101-0289,10290,10290,biker0289,24389
010101-0290,10291,10291,biker0290,24390
010101-0291,10292,10292,biker0291,24391
010101-0292,10293,10293,biker0292,24392
010101-0293,10294,10294,biker0293,24393
010101-0294,10295,10295,biker0294,24394
010101-0295,10296,10296,biker0295,24395
010101-0296,10297,10297,biker0296,24396
010101-0297,10298,10298,biker0297,24397
010101-0298,10299,10299,biker0298,24398
010101-0299,10300,10300,biker0299,24399
010101-0300,10301,10301,biker0300,24400
010101-0301,10302,10302,biker0301,24401
010101-0302,10303,10303,biker0302,24402
010101-0303,10304,10304,biker0303,24403
010101-0304,10305,10305,biker0304,24404
010101-0305,10306,10306,biker0305,24405
010101-0306,10307,10307,biker0306,24406
