,010101-0001,10201,10201,biker0101,24100

,010101-0002,10200,10200,biker0100,24099

,010101-0003,10199,10199,biker0099,24098

,010101-0004,10198,10198,biker0098,24097

,010101-0005,10197,10197,biker0097,24096

,010101-0006,10196,10196,biker0096,24095

,010101-0007,10195,10195,biker0095,24094

,010101-0008,10194,10194,biker0094,24093

,010101-0009,10193,10193,biker0093,24092

,010101-0010,10192,10192,biker0092,24091

,010101-0011,10191,10191,biker0091,24090

,010101-0012,10190,10190,biker0090,24089

,010101-0013,10189,10189,biker0089,24088

,010101-0014,10188,10188,biker0088,24087

,010101-0015,10187,10187,biker0087,24086

,010101-0016,10186,10186,biker0086,24085

,010101-0017,10185,10185,biker0085,24084

,010101-0018,10184,10184,biker0084,24083

,010101-0019,10183,10183,biker0083,24082

,010101-0020,10182,10182,biker0082,24081

,010101-0021,10181,10181,biker0081,24080

,010101-0022,10180,10180,biker0080,24079

,010101-0023,10179,10179,biker0079,24078

,010101-0024,10178,10178,biker0078,24077

,010101-0025,10177,10177,biker0077,24076

,010101-0026,10176,10176,biker0076,24075

,010101-0027,10175,10175,biker0075,24074

,010101-0028,10174,10174,biker0074,24073

,010101-0029,10173,10173,biker0073,24072

,010101-0030,10172,10172,biker0072,24071

,010101-0031,10171,10171,biker0071,24070

,010101-0032,10170,10170,biker0070,24069

,010101-0033,10169,10169,biker0069,24068

,010101-0034,10168,10168,biker0068,24067

,010101-0035,10167,10167,biker0067,24066

,010101-0036,10166,10166,biker0066,24065

,010101-0037,10165,10165,biker0065,24064

,010101-0038,10164,10164,biker0064,24063

,010101-0039,10163,10163,biker0063,24062

,010101-0040,10162,10162,biker0062,24061

,010101-0041,10161,10161,biker0061,24060

,010101-0042,10160,10160,biker0060,24059

,010101-0043,10159,10159,biker0059,24058

,010101-0044,10158,10158,biker0058,24057

,010101-0045,10157,10157,biker0057,24056

,010101-0046,10156,10156,biker0056,24055

,010101-0047,10155,10155,biker0055,24054

,010101-0048,10154,10154,biker0054,24053

,010101-0049,10153,10153,biker0053,24052

,010101-0050,10152,10152,biker0052,24051

,010101-0051,10151,10151,biker0051,24050

,010101-0052,10150,10150,biker0050,24049

,010101-0053,10149,10149,biker0049,24048

,010101-0054,10148,10148,biker0048,24047

,010101-0055,10147,10147,biker0047,24046

,010101-0056,10146,10146,biker0046,24045

,010101-0057,10145,10145,biker0045,24044

,010101-0058,10144,10144,biker0044,24043

,010101-0059,10143,10143,biker0043,24042

,010101-0060,10142,10142,biker0042,24041

,010101-0061,10141,10141,biker0041,24040

,010101-0062,10140,10140,biker0040,24039

,010101-0063,10139,10139,biker0039,24038

,010101-0064,10138,10138,biker0038,24037

,010101-0065,10137,10137,biker0037,24036

,010101-0066,10136,10136,biker0036,24035

,010101-0067,10135,10135,biker0035,24034

,010101-0068,10134,10134,biker0034,24033

,010101-0069,10133,10133,biker0033,24032

,010101-0070,10132,10132,biker0032,24031

,010101-0071,10131,10131,biker0031,24030

,010101-0072,10130,10130,biker0030,24029

,010101-0073,10129,10129,biker0029,24028

,010101-0074,10128,10128,biker0028,24027

,010101-0075,10127,10127,biker0027,24026

,010101-0076,10126,10126,biker0026,24025

,010101-0077,10125,10125,biker0025,24024

,010101-0078,10124,10124,biker0024,24023

,010101-0079,10123,10123,biker0023,24022

,010101-0080,10122,10122,biker0022,24021

,010101-0081,10121,10121,biker0021,24020

,010101-0082,10120,10120,biker0020,24019

,010101-0083,10119,10119,biker0019,24018

,010101-0084,10118,10118,biker0018,24017

,010101-0085,10117,10117,biker0017,24016

,010101-0086,10116,10116,biker0016,24015

,010101-0087,10115,10115,biker0015,24014

,010101-0088,10114,10114,biker0014,24013

,010101-0089,10113,10113,biker0013,24012

,010101-0090,10112,10112,biker0012,24011

,010101-0091,10111,10111,biker0011,24010

,010101-0092,10110,10110,biker0010,24009

,010101-0093,10109,10109,biker0009,24008

,010101-0094,10108,10108,biker0008,24007

,010101-0095,10107,10107,biker0007,24006

,010101-0096,10106,10106,biker0006,24005

,010101-0097,10105,10105,biker0005,24004

,010101-0098,10104,10104,biker0004,24003

,010101-0099,10103,10103,biker0003,24002

,010101-0100,10102,10102,biker0002,24001

,010101-0101,10101,10101,biker0001,24000

,010101-0102,10219,10219,biker0119,24118

,010101-0103,10218,10218,biker0118,24117

,010101-0104,10217,10217,biker0117,24116

,010101-0105,10216,10216,biker0116,24115

,010101-0106,10215,10215,biker0115,24114

,010101-0107,10214,10214,biker0114,24113

,010101-0108,10213,10213,biker0113,24112

,010101-0109,10212,10212,biker0112,24111

,010101-0110,10211,10211,biker0111,24110

,010101-0111,10210,10210,biker0110,24109

,010101-0112,10209,10209,biker0109,24108

,010101-0113,10208,10208,biker0108,24107

,010101-0114,10207,10207,biker0107,24106

,010101-0115,10206,10206,biker0106,24105

,010101-0116,10205,10205,biker0105,24104

,010101-0117,10204,10204,biker0104,24103

,010101-0118,10203,10203,biker0103,24102

,010101-0119,10202,10202,biker0102,24101

,010101-0120,10201,10201,biker0125,24125

,010101-0121,10200,10200,biker0126,24126

,010101-0122,10199,10199,biker0127,24127

,010101-0123,10198,10198,biker0128,24128

,010101-0124,10197,10197,biker0129,24129

,010101-0125,10196,10196,biker0130,24130

,010101-0126,10195,10195,biker0131,24131

,010101-0127,10194,10194,biker0132,24132

,010101-0128,10193,10193,biker0133,24133

,010101-0129,10192,10192,biker0134,24134

,010101-0130,10191,10191,biker0135,24135

,010101-0131,10190,10190,biker0136,24136

,010101-0132,10189,10189,biker0137,24137

,010101-0133,10188,10188,biker0138,24138

,010101-0134,10187,10187,biker0139,24139

,010101-0135,10186,10186,biker0140,24140

,010101-0136,10185,10185,biker0141,24141

,010101-0137,10184,10184,biker0142,24142

,010101-0138,10183,10183,biker0143,24143

,010101-0139,10182,10182,biker0144,24144

,010101-0140,10181,10181,biker0145,24145

,010101-0141,10180,10180,biker0146,24146

,010101-0142,10179,10179,biker0147,24147

,010101-0143,10178,10178,biker0148,24148

,010101-0144,10177,10177,biker0149,24149

,010101-0145,10176,10176,biker0150,24150

,010101-0146,10175,10175,biker0151,24151

,010101-0147,10174,10174,biker0152,24152

,010101-0148,10173,10173,biker0153,24153

,010101-0149,10172,10172,biker0154,24154

,010101-0150,10171,10171,biker0155,24155

,010101-0151,10170,10170,biker0156,24156

,010101-0152,10169,10169,biker0157,24157

,010101-0153,10168,10168,biker0158,24158

,010101-0154,10167,10167,biker0159,24159

,010101-0155,10166,10166,biker0160,24160

,010101-0156,10165,10165,biker0161,24161

,010101-0157,10164,10164,biker0162,24162

,010101-0158,10163,10163,biker0163,24163

,010101-0159,10162,10162,biker0164,24164

,010101-0160,10161,10161,biker0165,24165

